timestamp,soft_xray_flux,hard_xray_flux,soft_bg_subtracted,hard_bg_subtracted,source
2026-06-20T12:16:27Z,36.0,0.0,33.0,0.0,aditya
2026-06-20T12:16:28Z,36.0,0.0,33.0,0.0,aditya
2026-06-20T12:16:29Z,32.0,0.0,29.0,0.0,aditya
2026-06-20T12:16:30Z,37.0,0.0,34.0,0.0,aditya
2026-06-20T12:16:31Z,45.0,0.0,42.0,0.0,aditya
2026-06-20T12:16:32Z,31.0,0.0,28.0,0.0,aditya
2026-06-20T12:16:33Z,47.0,36.0,44.0,36.0,aditya
2026-06-20T12:16:34Z,36.0,0.0,33.0,0.0,aditya
2026-06-20T12:16:35Z,39.0,0.0,36.0,0.0,aditya
2026-06-20T12:16:36Z,40.0,0.0,37.0,0.0,aditya
2026-06-20T12:16:37Z,51.0,0.0,48.0,0.0,aditya
2026-06-20T12:16:38Z,32.0,0.0,29.0,0.0,aditya
2026-06-20T12:16:39Z,47.0,0.0,44.0,0.0,aditya
2026-06-20T12:16:40Z,50.0,0.0,47.0,0.0,aditya
2026-06-20T12:16:41Z,26.0,25.0,23.0,25.0,aditya
2026-06-20T12:16:42Z,31.0,0.0,28.0,0.0,aditya
2026-06-20T12:16:43Z,40.0,0.0,37.0,0.0,aditya
2026-06-20T12:16:44Z,38.0,0.0,35.0,0.0,aditya
2026-06-20T12:16:45Z,36.0,0.0,33.0,0.0,aditya
2026-06-20T12:16:46Z,36.0,0.0,33.0,0.0,aditya
2026-06-20T12:16:47Z,36.0,0.0,33.0,0.0,aditya
2026-06-20T12:16:48Z,35.0,41.0,32.0,41.0,aditya
2026-06-20T12:16:49Z,39.0,0.0,36.0,0.0,aditya
2026-06-20T12:16:50Z,45.0,0.0,42.0,0.0,aditya
2026-06-20T12:16:51Z,33.0,0.0,30.0,0.0,aditya
2026-06-20T12:16:52Z,38.0,0.0,35.0,0.0,aditya
2026-06-20T12:16:53Z,34.0,0.0,31.0,0.0,aditya
2026-06-20T12:16:54Z,42.0,0.0,39.0,0.0,aditya
2026-06-20T12:16:55Z,40.0,0.0,37.0,0.0,aditya
2026-06-20T12:16:56Z,45.0,0.0,42.0,0.0,aditya
2026-06-20T12:16:57Z,42.0,48.0,39.0,48.0,aditya
2026-06-20T12:16:58Z,43.0,0.0,40.0,0.0,aditya
2026-06-20T12:16:59Z,44.0,0.0,41.0,0.0,aditya
2026-06-20T12:17:00Z,46.0,0.0,43.0,0.0,aditya
